,period_open,period_close,shorts_count,long_value,short_value,long_exposure,pnl,capital_used,short_exposure,orders,transactions,returns,positions,gross_leverage,starting_exposure,net_leverage,ending_exposure,starting_value,ending_value,starting_cash,ending_cash,portfolio_value,longs_count,ASSETME,CORR,algo_volatility,benchmark_period_return,benchmark_volatility,algorithm_period_return,alpha,beta,sharpe,sortino,max_drawdown,max_leverage,excess_return,treasury_period_return,trading_days,period_label
2012-01-03 21:00:00+00:00,2012-01-03 14:31:00+00:00,2012-01-03 21:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,0,28.080000000000002,0.05015981402620617,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,1,2012-01
2012-01-04 21:00:00+00:00,2012-01-04 14:31:00+00:00,2012-01-04 21:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,0,27.71,0.9416589656638161,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2,2012-01
2012-01-05 21:00:00+00:00,2012-01-05 14:31:00+00:00,2012-01-05 21:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,0,27.12,0.9788318158008932,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,3,2012-01
2012-01-06 21:00:00+00:00,2012-01-06 14:31:00+00:00,2012-01-06 21:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,0,26.91,0.9213698338044831,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4,2012-01
2012-01-09 21:00:00+00:00,2012-01-09 14:31:00+00:00,2012-01-09 21:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,0,27.25,-0.12062295181097055,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,5,2012-01
2012-01-10 21:00:00+00:00,2012-01-10 14:31:00+00:00,2012-01-10 21:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,0,27.62,0.40132997288147054,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,6,2012-01
2012-01-11 21:00:00+00:00,2012-01-11 14:31:00+00:00,2012-01-11 21:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'id': '77a89e7b3bb041c5ba961bcf22af658c', 'dt': Timestamp('2012-01-11 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2012-01-11 21:00:00+0000', tz='UTC'), 'amount': 10, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2862 [TSLA]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,0,28.23,0.9932713693818254,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,7,2012-01
2012-01-12 21:00:00+00:00,2012-01-12 14:31:00+00:00,2012-01-12 21:00:00+00:00,0,282.5,0.0,282.5,-0.15125000000000455,-282.65125,0.0,"[{'id': '77a89e7b3bb041c5ba961bcf22af658c', 'dt': Timestamp('2012-01-12 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2012-01-11 21:00:00+0000', tz='UTC'), 'amount': 10, 'filled': 10, 'commission': 0.01, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2862 [TSLA]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'c25816e1ba90486bbccc152d2efc0b71', 'dt': Timestamp('2012-01-12 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2012-01-12 21:00:00+0000', tz='UTC'), 'amount': 10, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2862 [TSLA]), 'status': <ORDER_STATUS.OPEN: 0>}]","[{'amount': 10, 'dt': Timestamp('2012-01-12 21:00:00+0000', tz='UTC'), 'price': 28.264125, 'order_id': '77a89e7b3bb041c5ba961bcf22af658c', 'sid': Equity(2862 [TSLA]), 'commission': None}]",-0.00015125000000004718,"[{'sid': Equity(2862 [TSLA]), 'amount': 10, 'cost_basis': 28.265125, 'last_sale_price': 28.25}]",0.2825427345886065,0.0,0.2825427345886065,282.5,0.0,282.5,1000.0,717.34875,999.84875,1,28.25,0.8044005581879861,0.0008488885196246028,0.0,0.0,-0.00015125000000004718,,,-5.612486080160912,-5.612486080160912,-0.00015125000000011822,0.2825427345886065,0.0,0.0,8,2012-01
2012-01-13 21:00:00+00:00,2012-01-13 14:31:00+00:00,2012-01-13 21:00:00+00:00,0,455.79999999999995,0.0,455.79999999999995,-54.72395000000006,-228.02395,0.0,"[{'id': 'c25816e1ba90486bbccc152d2efc0b71', 'dt': Timestamp('2012-01-13 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2012-01-12 21:00:00+0000', tz='UTC'), 'amount': 10, 'filled': 10, 'commission': 0.01, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2862 [TSLA]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': 10, 'dt': Timestamp('2012-01-13 21:00:00+0000', tz='UTC'), 'price': 22.801395, 'order_id': 'c25816e1ba90486bbccc152d2efc0b71', 'sid': Equity(2862 [TSLA]), 'commission': None}]",-0.05473222824952284,"[{'sid': Equity(2862 [TSLA]), 'amount': 20, 'cost_basis': 25.53376, 'last_sale_price': 22.79}]",0.48226435281351204,282.5,0.48226435281351204,455.79999999999995,282.5,455.79999999999995,717.34875,489.3248,945.1247999999999,1,22.79,-0.5212796398182358,0.2895167757721667,0.0,0.0,-0.054875200000000124,,,-5.307939019727017,-5.306105186220461,-0.05487520000000018,0.48226435281351204,0.0,0.0,9,2012-01
2012-01-17 21:00:00+00:00,2012-01-17 14:31:00+00:00,2012-01-17 21:00:00+00:00,0,532.0,0.0,532.0,76.20000000000005,0.0,0.0,[],[],0.08062427311186848,"[{'sid': Equity(2862 [TSLA]), 'amount': 20, 'cost_basis': 25.53376, 'last_sale_price': 26.6}]",0.5208920805604642,455.79999999999995,0.5208920805604642,532.0,455.79999999999995,532.0,489.3248,489.3248,1021.3248,1,26.6,-0.22576525366501887,0.513838806396173,0.0,0.0,0.02132479999999992,,,1.2623959546390935,2.3608991523548823,-0.05487520000000018,0.5208920805604642,0.0,0.0,10,2012-01
