,period_open,period_close,transactions,returns,positions,gross_leverage,starting_exposure,net_leverage,ending_exposure,starting_value,ending_value,starting_cash,ending_cash,portfolio_value,longs_count,shorts_count,long_value,short_value,long_exposure,pnl,short_exposure,capital_used,orders,TSLA,algorithm_period_return,alpha,beta,sharpe,sortino,max_drawdown,max_leverage,excess_return,treasury_period_return,trading_days,period_label,algo_volatility,benchmark_period_return,benchmark_volatility
2012-01-03 21:00:00+00:00,2012-01-03 14:31:00+00:00,2012-01-03 21:00:00+00:00,[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'id': '1a945e2ab78c46038efe86468259e69c', 'dt': Timestamp('2012-01-03 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2012-01-03 21:00:00+0000', tz='UTC'), 'amount': 100, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2862 [TSLA]), 'status': <ORDER_STATUS.OPEN: 0>}]",28.080000000000002,0.0,,,,,0.0,0.0,0.0,0.0,1,2012-01,,0.0,
2012-01-04 21:00:00+00:00,2012-01-04 14:31:00+00:00,2012-01-04 21:00:00+00:00,"[{'amount': 100, 'dt': Timestamp('2012-01-04 21:00:00+0000', tz='UTC'), 'price': 27.723855, 'order_id': '1a945e2ab78c46038efe86468259e69c', 'sid': Equity(2862 [TSLA]), 'commission': None}]",-0.0014854999999998064,"[{'sid': Equity(2862 [TSLA]), 'amount': 100, 'cost_basis': 27.724854999999998, 'last_sale_price': 27.71}]",2.775122444391142,0.0,2.775122444391142,2771.0,0.0,2771.0,1000.0,-1772.4854999999998,998.5145000000002,1,0,2771.0,0.0,2771.0,-1.4854999999997744,0.0,-2772.4855,"[{'id': '1a945e2ab78c46038efe86468259e69c', 'dt': Timestamp('2012-01-04 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2012-01-03 21:00:00+0000', tz='UTC'), 'amount': 100, 'filled': 100, 'commission': 0.1, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2862 [TSLA]), 'status': <ORDER_STATUS.FILLED: 1>}]",27.71,-0.0014854999999998064,,,-11.224972160321824,-11.224972160321823,-0.0014854999999998598,2.775122444391142,0.0,0.0,2,2012-01,0.0166746961441559,0.0,0.0
2012-01-05 21:00:00+00:00,2012-01-05 14:31:00+00:00,2012-01-05 21:00:00+00:00,[],-0.05908777488959849,"[{'sid': Equity(2862 [TSLA]), 'amount': 100, 'cost_basis': 27.724854999999998, 'last_sale_price': 27.12}]",2.88659727976524,2771.0,2.88659727976524,2712.0,2771.0,2712.0,-1772.4854999999998,-1772.4854999999998,939.5145000000002,1,0,2712.0,0.0,2712.0,-59.0,0.0,0.0,[],27.12,-0.06048549999999986,,,-9.512864714467698,-9.392600648925773,-0.060485499999999914,2.88659727976524,0.0,0.0,3,2012-01,0.5348709608986562,0.0,0.0
2012-01-06 21:00:00+00:00,2012-01-06 14:31:00+00:00,2012-01-06 21:00:00+00:00,[],-0.022351970086677775,"[{'sid': Equity(2862 [TSLA]), 'amount': 100, 'cost_basis': 27.724854999999998, 'last_sale_price': 26.91}]",2.929730559506681,2712.0,2.929730559506681,2691.0,2712.0,2691.0,-1772.4854999999998,-1772.4854999999998,918.5145000000002,1,0,2691.0,0.0,2691.0,-21.0,0.0,0.0,[],26.91,-0.08148549999999988,,,-11.953339494401986,-10.415915854310102,-0.08148549999999986,2.929730559506681,0.0,0.0,4,2012-01,0.4370569777552159,0.0,0.0
2012-01-09 21:00:00+00:00,2012-01-09 14:31:00+00:00,2012-01-09 21:00:00+00:00,[],0.037016290978530986,"[{'sid': Equity(2862 [TSLA]), 'amount': 100, 'cost_basis': 27.724854999999998, 'last_sale_price': 27.25}]",2.8608488374717647,2691.0,2.8608488374717647,2725.0,2691.0,2725.0,-1772.4854999999998,-1772.4854999999998,952.5145000000002,1,0,2725.0,0.0,2725.0,34.0,0.0,0.0,[],27.25,-0.04748549999999996,,,-4.146793042880671,-5.1576645296364285,-0.08148549999999986,2.929730559506681,0.0,0.0,5,2012-01,0.5579760691117122,0.0,0.0
2012-01-10 21:00:00+00:00,2012-01-10 14:31:00+00:00,2012-01-10 21:00:00+00:00,[],0.0388445530225523,"[{'sid': Equity(2862 [TSLA]), 'amount': 100, 'cost_basis': 27.724854999999998, 'last_sale_price': 27.62}]",2.791267838925048,2725.0,2.791267838925048,2762.0,2725.0,2762.0,-1772.4854999999998,-1772.4854999999998,989.5145000000002,1,0,2762.0,0.0,2762.0,37.0,0.0,0.0,[],27.62,-0.010485500000000036,,,-0.5044541267132917,-0.7245033732518666,-0.08148549999999986,2.929730559506681,0.0,0.0,6,2012-01,0.5881701134873069,0.0,0.0
2012-01-11 21:00:00+00:00,2012-01-11 14:31:00+00:00,2012-01-11 21:00:00+00:00,[],0.06164639325649102,"[{'sid': Equity(2862 [TSLA]), 'amount': 100, 'cost_basis': 27.724854999999998, 'last_sale_price': 28.23}]",2.687254673781275,2762.0,2.687254673781275,2823.0,2762.0,2823.0,-1772.4854999999998,-1772.4854999999998,1050.5145000000002,1,0,2823.0,0.0,2823.0,61.0,0.0,0.0,[],28.23,0.05051450000000002,,,2.9952259354118205,5.182520860995487,-0.08148549999999986,2.929730559506681,0.0,0.0,7,2012-01,0.6560278805333498,0.0,0.0
2012-01-12 21:00:00+00:00,2012-01-12 14:31:00+00:00,2012-01-12 21:00:00+00:00,[],0.0019038290285380288,"[{'sid': Equity(2862 [TSLA]), 'amount': 100, 'cost_basis': 27.724854999999998, 'last_sale_price': 28.25}]",2.6840485332981157,2823.0,2.6840485332981157,2825.0,2823.0,2825.0,-1772.4854999999998,-1772.4854999999998,1052.5145000000002,1,0,2825.0,0.0,2825.0,2.0,0.0,0.0,[],28.25,0.05251450000000024,,,2.925216336320774,5.016896593267324,-0.08148549999999986,2.929730559506681,0.0,0.0,8,2012-01,0.6082638569897304,0.0,0.0
2012-01-13 21:00:00+00:00,2012-01-13 14:31:00+00:00,2012-01-13 21:00:00+00:00,[],-0.5187576988250517,"[{'sid': Equity(2862 [TSLA]), 'amount': 100, 'cost_basis': 27.724854999999998, 'last_sale_price': 22.79}]",4.499377609130635,2825.0,4.499377609130635,2279.0,2825.0,2279.0,-1772.4854999999998,-1772.4854999999998,506.5145000000002,1,0,2279.0,0.0,2279.0,-546.0,0.0,0.0,[],22.79,-0.4934854999999998,,,-4.557689934841441,-4.68072866792948,-0.5187576988250517,4.499377609130635,0.0,0.0,9,2012-01,2.8399502281798674,0.0,0.0
2012-01-17 21:00:00+00:00,2012-01-17 14:31:00+00:00,2012-01-17 21:00:00+00:00,[],0.7521995915220587,"[{'sid': Equity(2862 [TSLA]), 'amount': 100, 'cost_basis': 27.724854999999998, 'last_sale_price': 26.6}]",2.9971341313296844,2279.0,2.9971341313296844,2660.0,2279.0,2660.0,-1772.4854999999998,-1772.4854999999998,887.5145000000002,1,0,2660.0,0.0,2660.0,381.0,0.0,0.0,[],26.6,-0.1124854999999998,,,1.509040013785547,2.785011410936063,-0.5187576988250517,4.499377609130635,0.0,0.0,10,2012-01,4.8416068005011486,0.0,0.0
2012-01-18 21:00:00+00:00,2012-01-18 14:31:00+00:00,2012-01-18 21:00:00+00:00,[],0.023661585247339634,"[{'sid': Equity(2862 [TSLA]), 'amount': 100, 'cost_basis': 27.724854999999998, 'last_sale_price': 26.810000000000002}]",2.9509710632026227,2660.0,2.9509710632026227,2681.0,2660.0,2681.0,-1772.4854999999998,-1772.4854999999998,908.5145000000002,1,0,2681.0,0.0,2681.0,21.0,0.0,0.0,[],26.810000000000002,-0.09148549999999978,,,1.564053547163398,2.8721170803866536,-0.5187576988250517,4.499377609130635,0.0,0.0,11,2012-01,4.593222385359717,0.0,0.0
2012-01-19 21:00:00+00:00,2012-01-19 14:31:00+00:00,2012-01-19 21:00:00+00:00,[],-0.005503489487509561,"[{'sid': Equity(2862 [TSLA]), 'amount': 100, 'cost_basis': 27.724854999999998, 'last_sale_price': 26.76}]",2.961767630735311,2681.0,2.961767630735311,2676.0,2681.0,2676.0,-1772.4854999999998,-1772.4854999999998,903.5145000000002,1,0,2676.0,0.0,2676.0,-5.0,0.0,0.0,[],26.76,-0.09648549999999978,,,1.4763692821259669,2.7014332361957227,-0.5187576988250517,4.499377609130635,0.0,0.0,12,2012-01,4.382238294597709,0.0,0.0
2012-01-20 21:00:00+00:00,2012-01-20 14:31:00+00:00,2012-01-20 21:00:00+00:00,[],-0.017708625594829996,"[{'sid': Equity(2862 [TSLA]), 'amount': 100, 'cost_basis': 27.724854999999998, 'last_sale_price': 26.6}]",2.9971341313296844,2676.0,2.9971341313296844,2660.0,2676.0,2660.0,-1772.4854999999998,-1772.4854999999998,887.5145000000002,1,0,2660.0,0.0,2660.0,-16.0,0.0,0.0,[],26.6,-0.1124854999999998,,,1.340196285850076,2.4448645696239653,-0.5187576988250517,4.499377609130635,0.0,0.0,13,2012-01,4.200019124861605,0.0,0.0
2012-01-23 21:00:00+00:00,2012-01-23 14:31:00+00:00,2012-01-23 21:00:00+00:00,[],0.019154616628798804,"[{'sid': Equity(2862 [TSLA]), 'amount': 100, 'cost_basis': 27.724854999999998, 'last_sale_price': 26.77}]",2.9595987681789504,2660.0,2.9595987681789504,2677.0,2660.0,2677.0,-1772.4854999999998,-1772.4854999999998,904.5145000000002,1,0,2677.0,0.0,2677.0,17.0,0.0,0.0,[],26.77,-0.09548549999999978,,,1.380718468626872,2.511338473542854,-0.5187576988250517,4.499377609130635,0.0,0.0,14,2012-01,4.035270434205534,0.0,0.0
